N_communes;N_pop;D_pop;N_kids;W_pop;N_retired;N_foreigners;Natural_growth;N_wedding;N_death;Prop_fam;M_home;S_primary;S_tertiary;N_nlog;N_indivihome;little_house;N_social;N_cinema;Migratory_balance
Aeugst am Albis;2014.00;254.60;382.00;1258.00;374.00;290.00;-2.00;5.00;12.00;4.70;2.28;14.00;108.00;10.00;69.20;42.30;26.00;0.00;14.50
Affoltern am Albis;12289.00;1160.40;2482.00;7523.00;2284.00;3564.00;26.00;59.00;125.00;5.50;2.19;23.00;857.00;56.00;54.70;60.90;392.00;1.00;-0.50
Bonstetten;5610.00;755.00;1350.00;3327.00;933.00;971.00;26.00;26.00;35.00;5.20;2.37;16.00;235.00;1.00;71.60;55.30;63.00;0.00;0.50
Hausen am Albis;3801.00;279.50;840.00;2270.00;691.00;602.00;8.00;10.00;19.00;6.70;2.39;34.00;199.00;5.00;69.10;43.70;47.00;0.00;10.90
Hedingen;3795.00;581.20;820.00;2330.00;645.00;659.00;2.00;7.00;20.00;6.50;2.38;11.00;158.00;4.00;74.70;47.60;48.00;0.00;2.10
Kappel am Albis;1245.00;157.20;316.00;758.00;171.00;224.00;6.00;3.00;7.00;10.00;2.47;19.00;61.00;6.00;61.60;42.10;12.00;0.00;11.40
Knonau;2369.00;366.20;585.00;1436.00;348.00;401.00;3.00;8.00;19.00;8.00;2.52;22.00;99.00;19.00;63.40;47.60;34.00;0.00;-6.30
Maschwanden;641.00;136.70;142.00;381.00;118.00;71.00;-1.00;0.00;5.00;6.60;2.34;18.00;34.00;0.00;52.20;41.00;X;0.00;-4.70
Mettmenstetten;5380.00;412.90;1239.00;3176.00;965.00;834.00;26.00;17.00;27.00;7.40;2.43;49.00;213.00;79.00;65.20;50.90;79.00;0.00;28.50
Obfelden;5779.00;766.40;1365.00;3425.00;989.00;1221.00;23.00;33.00;33.00;6.90;2.43;17.00;248.00;0.00;72.70;52.40;156.00;0.00;5.70
Ottenbach;2704.00;538.60;553.00;1579.00;572.00;368.00;-1.00;9.00;22.00;4.90;2.31;14.00;119.00;21.00;72.30;43.20;43.00;0.00;40.80
Rifferswil;1148.00;176.30;308.00;649.00;191.00;116.00;5.00;4.00;6.00;8.90;2.48;17.00;65.00;4.00;62.80;42.00;X;0.00;13.20
Stallikon;3783.00;314.70;816.00;2335.00;632.00;823.00;17.00;17.00;18.00;4.60;2.39;15.00;149.00;0.00;72.50;48.60;40.00;0.00;3.70
Wettswil am Albis;5281.00;1400.80;1242.00;2984.00;1055.00;911.00;21.00;28.00;36.00;5.10;2.40;6.00;234.00;33.00;71.80;50.00;80.00;0.00;0.60
Adlikon;693.00;105.30;157.00;404.00;132.00;70.00;6.00;3.00;7.00;7.70;2.48;19.00;34.00;0.00;62.80;39.50;X;0.00;-17.30
Benken (ZH);856.00;151.20;180.00;538.00;138.00;124.00;2.00;2.00;7.00;7.10;2.33;18.00;40.00;1.00;63.20;38.30;6.00;0.00;0.00
Berg am Irchel;595.00;84.90;84.00;367.00;144.00;62.00;-1.00;3.00;5.00;3.80;2.24;16.00;23.00;4.00;65.40;36.20;X;0.00;30.70
Buch am Irchel;1022.00;100.10;255.00;610.00;157.00;80.00;10.00;3.00;1.00;8.90;2.51;22.00;43.00;8.00;72.80;33.20;X;0.00;32.00
Dachsen;1917.00;710.00;399.00;1114.00;404.00;279.00;-8.00;6.00;17.00;6.10;2.37;5.00;80.00;4.00;77.80;37.20;8.00;0.00;4.70
Dorf;666.00;119.80;139.00;418.00;109.00;72.00;1.00;1.00;6.00;5.70;2.51;11.00;36.00;7.00;71.90;33.10;X;0.00;9.10
Feuerthalen;3697.00;1490.70;746.00;2311.00;640.00;860.00;-2.00;17.00;35.00;4.60;2.18;0.00;161.00;43.00;61.70;55.20;84.00;0.00;23.50
Flaach;1430.00;140.60;297.00;888.00;245.00;220.00;2.00;6.00;13.00;6.90;2.34;25.00;92.00;6.00;65.30;42.60;6.00;0.00;7.00
Flurlingen;1552.00;641.30;317.00;956.00;279.00;270.00;11.00;6.00;5.00;5.40;2.30;X;91.00;11.00;70.80;43.90;13.00;0.00;34.30
Andelfingen;2232.00;331.20;517.00;1277.00;438.00;301.00;3.00;6.00;11.00;7.40;2.38;13.00;150.00;23.00;64.20;43.80;39.00;0.00;-11.60
Henggart;2293.00;756.80;502.00;1327.00;464.00;208.00;11.00;7.00;9.00;6.90;2.43;11.00;91.00;13.00;76.70;45.10;35.00;0.00;22.10
Humlikon;484.00;131.50;111.00;267.00;106.00;41.00;2.00;1.00;1.00;7.80;2.50;8.00;24.00;8.00;70.40;29.00;8.00;0.00;-8.30
Kleinandelfingen;2104.00;204.50;447.00;1261.00;396.00;264.00;-1.00;11.00;17.00;6.10;2.33;25.00;125.00;16.00;67.00;40.60;46.00;0.00;14.80
Laufen-Uhwiesen;1779.00;283.30;328.00;1062.00;389.00;243.00;-3.00;9.00;11.00;5.00;2.20;20.00;75.00;11.00;69.00;44.50;26.00;0.00;11.90
Marthalen;1933.00;136.80;393.00;1164.00;376.00;233.00;0.00;9.00;20.00;6.30;2.27;31.00;137.00;0.00;62.40;46.50;18.00;0.00;21.30
Ossingen;1724.00;131.70;362.00;1064.00;298.00;215.00;-1.00;9.00;13.00;6.60;2.34;25.00;74.00;0.00;64.30;44.20;35.00;0.00;30.10
Rheinau;1287.00;143.80;238.00;770.00;279.00;249.00;-7.00;5.00;16.00;6.00;2.19;X;67.00;0.00;66.00;39.60;25.00;0.00;-18.40
Thalheim an der Thur;949.00;147.40;219.00;570.00;160.00;95.00;0.00;14.00;6.00;8.70;2.42;17.00;48.00;1.00;66.20;38.10;10.00;0.00;13.80
Trüllikon;1055.00;110.40;202.00;605.00;248.00;88.00;-8.00;4.00;15.00;6.50;2.27;30.00;46.00;0.00;60.20;31.70;X;0.00;-4.70
Truttikon;449.00;101.80;95.00;268.00;86.00;22.00;-3.00;1.00;5.00;7.80;2.49;15.00;12.00;0.00;67.30;31.50;X;0.00;-24.10
Volken;383.00;119.70;107.00;233.00;43.00;34.00;4.00;2.00;2.00;11.60;2.44;11.00;13.00;6.00;60.00;45.20;8.00;0.00;10.50
Bachenbülach;4188.00;971.70;882.00;2428.00;878.00;1039.00;8.00;18.00;30.00;6.20;2.32;X;204.00;14.00;57.50;59.90;163.00;0.00;1.00
Bassersdorf;11924.00;1320.50;2494.00;7453.00;1977.00;3008.00;43.00;59.00;75.00;5.50;2.33;11.00;536.00;51.00;58.10;63.80;240.00;0.00;4.50
Bülach;21998.00;1367.20;4540.00;13804.00;3654.00;6276.00;98.00;120.00;144.00;5.50;2.26;22.00;1131.00;81.00;40.90;67.70;428.00;2.00;23.10
Dietlikon;7875.00;1852.90;1578.00;4694.00;1603.00;2066.00;-14.00;33.00;78.00;5.80;2.23;4.00;490.00;2.00;53.10;61.20;244.00;1.00;5.10
Eglisau;5491.00;606.10;1224.00;3323.00;944.00;1360.00;25.00;29.00;35.00;5.80;2.37;24.00;246.00;30.00;62.70;53.10;154.00;0.00;23.60
Embrach;9610.00;757.30;2102.00;5854.00;1654.00;2740.00;46.00;40.00;54.00;7.50;2.38;24.00;409.00;81.00;61.20;59.10;346.00;0.00;16.10
Freienstein-Teufen;2397.00;285.40;472.00;1461.00;464.00;345.00;2.00;7.00;17.00;6.00;2.38;28.00;113.00;1.00;67.50;51.50;21.00;1.00;1.30
Glattfelden;5266.00;428.50;1160.00;3313.00;793.00;1314.00;20.00;25.00;30.00;5.70;2.37;14.00;171.00;25.00;64.70;59.10;162.00;0.00;5.70
Hochfelden;2020.00;327.40;457.00;1211.00;352.00;303.00;17.00;6.00;7.00;6.70;2.46;10.00;50.00;0.00;69.30;51.40;15.00;0.00;9.50
Höri;2951.00;616.10;594.00;1923.00;434.00;1030.00;13.00;14.00;24.00;8.70;2.47;11.00;162.00;71.00;54.10;66.40;78.00;0.00;24.70
Hüntwangen;1067.00;217.30;226.00;628.00;213.00;118.00;4.00;4.00;6.00;5.10;2.44;14.00;68.00;19.00;77.10;41.80;14.00;0.00;6.60
Kloten;20429.00;1060.10;3739.00;13463.00;3227.00;6932.00;48.00;108.00;143.00;5.10;2.14;17.00;1382.00;234.00;38.40;64.00;995.00;1.00;12.90
Lufingen;2562.00;494.60;604.00;1644.00;314.00;511.00;20.00;6.00;12.00;7.00;2.48;7.00;90.00;79.00;74.40;46.30;11.00;0.00;51.40
Nürensdorf;5628.00;560.60;1063.00;3337.00;1228.00;955.00;7.00;28.00;36.00;4.10;2.24;18.00;236.00;38.00;65.60;50.40;109.00;0.00;0.00
Oberembrach;1105.00;107.70;201.00;682.00;222.00;142.00;5.00;5.00;6.00;5.30;2.18;36.00;43.00;1.00;53.40;48.70;7.00;0.00;-31.40
Opfikon;20954.00;3748.50;4309.00;14189.00;2456.00;9362.00;151.00;111.00;121.00;6.40;2.19;5.00;1304.00;5.00;31.50;58.40;1006.00;0.00;-6.20
Rafz;4628.00;433.30;969.00;2834.00;825.00;1027.00;6.00;20.00;35.00;5.70;2.31;28.00;171.00;25.00;64.50;53.30;56.00;0.00;-8.40
Rorbas;2885.00;649.80;689.00;1831.00;365.00;788.00;11.00;7.00;8.00;8.30;2.46;6.00;120.00;15.00;69.10;48.30;112.00;0.00;-3.80
Wallisellen;17218.00;2681.90;3319.00;11206.00;2693.00;5416.00;96.00;99.00;118.00;4.50;2.16;5.00;1268.00;139.00;45.00;61.40;439.00;0.00;16.00
Wasterkingen;568.00;143.40;112.00;334.00;122.00;58.00;-1.00;5.00;4.00;4.40;2.22;8.00;21.00;1.00;73.00;38.50;X;0.00;10.60
Wil (ZH);1488.00;166.40;316.00;873.00;299.00;192.00;0.00;4.00;11.00;7.90;2.43;26.00;78.00;8.00;67.00;39.10;15.00;0.00;10.80
Winkel;4648.00;573.10;824.00;2928.00;896.00;743.00;27.00;30.00;25.00;3.70;2.25;21.00;220.00;17.00;55.80;55.60;66.00;0.00;18.10
Bachs;613.00;67.10;112.00;365.00;136.00;82.00;1.00;2.00;4.00;5.20;2.40;21.00;33.00;21.00;49.20;47.80;X;0.00;33.20
Boppelsen;1472.00;371.70;333.00;870.00;269.00;166.00;16.00;8.00;6.00;5.00;2.43;11.00;58.00;0.00;68.00;42.00;9.00;0.00;14.50
Buchs (ZH);6555.00;1122.40;1370.00;4256.00;929.00;1689.00;28.00;35.00;38.00;5.60;2.30;9.00;244.00;11.00;54.30;61.10;175.00;0.00;-4.90
Dällikon;4278.00;948.60;914.00;2660.00;704.00;1286.00;36.00;15.00;23.00;5.70;2.34;10.00;209.00;45.00;49.70;64.90;129.00;0.00;16.30
Dänikon;1846.00;643.20;388.00;1171.00;287.00;492.00;7.00;5.00;10.00;5.00;2.37;8.00;67.00;7.00;66.90;53.80;35.00;0.00;-10.80
Dielsdorf;5968.00;1016.70;1209.00;3704.00;1055.00;1962.00;17.00;28.00;38.00;5.90;2.27;8.00;367.00;12.00;48.30;60.60;71.00;0.00;-3.00
Hüttikon;951.00;598.10;259.00;564.00;128.00;151.00;0.00;6.00;4.00;9.60;2.66;7.00;31.00;6.00;80.60;38.90;X;0.00;-3.20
Neerach;3229.00;534.60;517.00;2017.00;695.00;447.00;-1.00;11.00;18.00;3.60;2.16;16.00;198.00;19.00;68.00;48.10;15.00;0.00;16.20
Niederglatt;4938.00;1371.70;1007.00;3133.00;798.00;1289.00;-2.00;17.00;42.00;6.60;2.33;11.00;190.00;0.00;65.60;60.90;81.00;0.00;-11.90
Niederhasli;9449.00;836.20;2060.00;5866.00;1523.00;2517.00;28.00;41.00;61.00;6.00;2.39;24.00;364.00;64.00;69.10;58.70;206.00;0.00;8.20
Niederweningen;3089.00;450.90;702.00;1918.00;469.00;528.00;12.00;11.00;12.00;7.20;2.47;21.00;123.00;11.00;71.30;44.50;36.00;0.00;-1.00
Oberglatt;7386.00;895.30;1614.00;4902.00;870.00;2769.00;64.00;39.00;25.00;8.10;2.35;9.00;248.00;47.00;54.40;60.20;201.00;0.00;14.20
Oberweningen;1897.00;384.00;381.00;1192.00;324.00;407.00;9.00;9.00;5.00;4.90;2.38;8.00;67.00;8.00;72.80;53.00;22.00;0.00;52.60
Otelfingen;2943.00;411.60;676.00;1778.00;489.00;674.00;-1.00;11.00;22.00;6.40;2.44;11.00;204.00;0.00;60.40;56.20;34.00;0.00;-13.80
Regensberg;459.00;193.70;85.00;279.00;95.00;73.00;0.00;0.00;2.00;4.40;2.03;5.00;36.00;0.00;37.30;47.30;X;0.00;-19.40
Regensdorf;18568.00;1270.00;3842.00;11587.00;3139.00;6616.00;95.00;81.00;141.00;6.50;2.29;23.00;1045.00;26.00;51.40;63.60;683.00;0.00;-3.70
Rümlang;8277.00;667.00;1716.00;5279.00;1282.00;2513.00;46.00;51.00;65.00;5.90;2.28;27.00;580.00;84.00;50.90;65.00;185.00;0.00;0.00
Schleinikon;858.00;151.10;148.00;572.00;138.00;108.00;3.00;2.00;3.00;3.10;2.22;15.00;32.00;54.00;68.20;45.30;X;0.00;120.00
Schöfflisdorf;1394.00;347.60;273.00;823.00;298.00;240.00;0.00;8.00;10.00;5.50;2.25;7.00;75.00;0.00;70.30;44.90;24.00;0.00;13.00
Stadel;2336.00;181.20;479.00;1448.00;409.00;338.00;3.00;7.00;16.00;5.20;2.30;36.00;91.00;12.00;57.80;46.20;40.00;0.00;18.10
Steinmaur;3583.00;381.60;724.00;2220.00;639.00;969.00;11.00;9.00;24.00;5.80;2.25;27.00;151.00;0.00;60.00;54.20;30.00;0.00;-10.60
Weiach;1990.00;207.70;389.00;1351.00;250.00;520.00;27.00;17.00;8.00;7.40;2.30;11.00;76.00;0.00;57.10;52.60;53.00;0.00;33.40
Bäretswil;5052.00;227.70;1082.00;2918.00;1052.00;559.00;14.00;23.00;30.00;6.50;2.33;57.00;256.00;11.00;60.30;49.30;96.00;0.00;-4.40
Bubikon;7371.00;634.90;1629.00;4270.00;1472.00;848.00;12.00;31.00;52.00;6.30;2.38;33.00;435.00;43.00;66.70;50.80;112.00;0.00;1.10
Dürnten;7645.00;748.00;1648.00;4647.00;1350.00;1377.00;36.00;20.00;37.00;7.10;2.35;35.00;323.00;21.00;68.90;51.10;195.00;0.00;-0.30
Fischenthal;2501.00;82.70;592.00;1510.00;399.00;374.00;-4.00;5.00;19.00;8.40;2.45;51.00;113.00;9.00;67.10;44.50;45.00;0.00;-6.00
Gossau (ZH);10282.00;563.10;2152.00;6108.00;2022.00;1531.00;36.00;51.00;69.00;6.50;2.33;49.00;463.00;21.00;65.00;50.80;175.00;0.00;-3.30
Grüningen;3716.00;422.80;758.00;2269.00;689.00;510.00;6.00;18.00;24.00;5.20;2.27;34.00;189.00;30.00;61.50;47.20;33.00;0.00;18.80
Hinwil;11354.00;509.60;2186.00;6883.00;2285.00;1974.00;40.00;50.00;86.00;5.60;2.24;68.00;673.00;54.00;62.70;57.20;248.00;0.00;2.90
Rüti (ZH);12494.00;1241.90;2430.00;7634.00;2430.00;3156.00;-13.00;42.00;126.00;5.60;2.18;19.00;684.00;147.00;57.10;58.80;539.00;0.00;16.80
Seegräben;1427.00;378.50;286.00;901.00;240.00;215.00;-2.00;5.00;11.00;5.60;2.32;16.00;101.00;2.00;68.90;46.20;23.00;0.00;1.40
Wald (ZH);10200.00;403.60;2052.00;6329.00;1819.00;2699.00;11.00;41.00;101.00;6.10;2.23;75.00;454.00;13.00;54.30;53.90;249.00;0.00;9.80
Wetzikon (ZH);25056.00;1490.50;4997.00;15635.00;4424.00;6605.00;87.00;113.00;215.00;5.80;2.26;26.00;1493.00;116.00;54.00;61.70;826.00;1.00;1.00
Adliswil;19049.00;2451.60;3880.00;11618.00;3551.00;7310.00;27.00;67.00;173.00;4.20;2.15;5.00;896.00;22.00;40.90;62.10;654.00;0.00;2.70
Kilchberg (ZH);9207.00;3568.60;1981.00;5628.00;1598.00;3066.00;52.00;42.00;60.00;4.70;2.19;X;552.00;98.00;43.30;53.20;101.00;0.00;26.30
Langnau am Albis;7902.00;911.40;1726.00;4538.00;1638.00;2221.00;30.00;37.00;53.00;5.80;2.32;8.00;322.00;50.00;68.70;54.30;203.00;0.00;18.30
Oberrieden;5122.00;1835.80;988.00;2872.00;1262.00;1132.00;3.00;22.00;44.00;4.50;2.19;X;270.00;2.00;52.60;53.40;49.00;0.00;22.10
Richterswil;13670.00;1815.40;2948.00;8053.00;2669.00;2680.00;-14.00;42.00;113.00;5.30;2.26;20.00;654.00;38.00;59.40;54.00;308.00;0.00;3.40
Rüschlikon;6113.00;2086.30;1353.00;3621.00;1139.00;2030.00;6.00;29.00;60.00;6.00;2.37;X;366.00;27.00;48.70;51.80;44.00;0.00;2.10
Thalwil;18278.00;3323.30;3649.00;11155.00;3474.00;5415.00;44.00;91.00;152.00;3.80;2.16;X;1194.00;153.00;42.30;58.10;436.00;0.00;4.30
Erlenbach (ZH);5606.00;1939.80;1187.00;3312.00;1107.00;1320.00;15.00;18.00;25.00;5.50;2.29;X;443.00;19.00;60.90;44.50;87.00;0.00;0.40
Herrliberg;6567.00;730.50;1331.00;3834.00;1402.00;1517.00;0.00;20.00;57.00;5.00;2.29;17.00;426.00;88.00;59.60;45.70;89.00;0.00;17.70
Hombrechtikon;8815.00;723.70;1833.00;5151.00;1831.00;1815.00;-23.00;41.00;88.00;6.00;2.27;68.00;453.00;36.00;64.30;51.60;220.00;0.00;8.20
Küsnacht (ZH);14811.00;1198.30;3102.00;8345.00;3364.00;4021.00;2.00;58.00;142.00;5.00;2.22;23.00;1155.00;95.00;48.80;49.90;264.00;0.00;16.50
Männedorf;11397.00;2389.30;2313.00;6756.00;2328.00;2292.00;6.00;33.00;97.00;4.50;2.24;9.00;677.00;23.00;51.20;56.90;208.00;1.00;3.30
Meilen;14539.00;1217.70;3076.00;8415.00;3048.00;3463.00;21.00;54.00;116.00;4.80;2.25;29.00;1027.00;86.00;50.10;54.70;223.00;0.00;12.70
Oetwil am See;4857.00;794.90;1054.00;3089.00;714.00;1459.00;8.00;20.00;35.00;6.40;2.29;15.00;212.00;2.00;58.40;58.00;143.00;0.00;1.20
Stäfa;14791.00;1721.90;2764.00;8575.00;3452.00;2916.00;-1.00;59.00;129.00;4.20;2.17;26.00;899.00;33.00;53.60;56.80;256.00;0.00;4.90
Uetikon am See;6225.00;1799.10;1258.00;3700.00;1267.00;1333.00;6.00;19.00;52.00;4.90;2.32;9.00;341.00;21.00;58.00;57.10;134.00;0.00;3.50
Zumikon;5587.00;1019.50;1240.00;2982.00;1365.00;1418.00;3.00;16.00;41.00;5.60;2.27;X;335.00;2.00;60.50;47.70;61.00;0.00;19.70
Zollikon;13311.00;1695.70;2758.00;7564.00;2989.00;3561.00;-5.00;49.00;148.00;4.70;2.17;5.00;1062.00;82.00;41.80;51.30;188.00;0.00;19.00
